Show Name,Years,No. Episodes,Ratings,Show Type,Score out of 10,No. Votes
Breaking Bad,2008–2013,62,TV-MA,TV Series,9.5,"2,004,216"
Planet Earth II,2016,6,TV-G,TV Mini Series,9.5,"151,766"
Planet Earth,2006,11,TV-PG,TV Mini Series,9.4,"214,787"
Band of Brothers,2001,10,TV-MA,TV Mini Series,9.4,"489,157"
Chernobyl,2019,5,TV-MA,TV Mini Series,9.4,"807,634"
The Wire,2002–2008,60,TV-MA,TV Series,9.3,"356,626"
Avatar: The Last Airbender,2005–2008,62,TV-Y7-FV,TV Series,9.3,"336,826"
Blue Planet II,2017,7,TV-G,TV Mini Series,9.3,"43,707"
The Sopranos,1999–2007,86,TV-MA,TV Series,9.2,"430,524"
Cosmos: A Spacetime Odyssey,2014,13,TV-PG,TV Mini Series,9.3,"125,017"
Our Planet,2019–2023,12,TV-PG,TV Series,9.3,"47,315"
Cosmos,1980,13,TV-PG,TV Mini Series,9.3,"42,446"
Game of Thrones,2011–2019,73,TV-MA,TV Series,9.2,"2,181,741"
The World at War,1973–1974,26,TV-PG,TV Series,9.2,"27,077"
Rick and Morty,2013–,63,TV-MA,TV Series,9.1,"558,991"
Fullmetal Alchemist: Brotherhood,2009–2010,68,TV-14,TV Series,9.1,"181,453"
Bluey,2018–,171,TV-Y,TV Series,9.5,"18,002"
The Last Dance,2020,10,TV-MA,TV Mini Series,9.1,"138,136"
Life,2009,11,TV-G,TV Mini Series,9.1,"41,836"
The Twilight Zone,1959–1964,156,TV-PG,TV Series,9.1,"88,261"
Sherlock,2010–2017,15,TV-14,TV Series,9.1,"957,681"
The Vietnam War,2017,10,TV-MA,TV Mini Series,9.1,"26,307"
Batman: The Animated Series,1992–1995,85,TV-PG,TV Series,9.0,"109,804"
Scam 1992: The Harshad Mehta Story,2020,10,TV-14,TV Series,9.3,"149,956"
Attack on Titan,2013–2023,98,TV-MA,TV Series,9.1,"419,543"
Arcane,2021–,10,TV-14,TV Series,9.0,"235,011"
The Office,2005–2013,188,TV-14,TV Series,9.0,"652,545"
The Blue Planet,2001,8,TV-G,TV Mini Series,9.0,"41,223"
Human Planet,2011,8,TV-PG,TV Mini Series,9.0,"27,109"
Firefly,2002–2003,14,TV-14,TV Series,9.0,"273,420"
Better Call Saul,2015–2022,63,TV-MA,TV Series,9.0,"589,115"
Frozen Planet,2011–2012,10,TV-PG,TV Mini Series,9.0,"31,855"
Death Note,2006–2007,37,TV-14,TV Series,8.9,"348,667"
Clarkson's Farm,2021–,17,TV-PG,TV Series,9.0,"49,161"
The Civil War,1990,9,TV-14,TV Mini Series,9.1,"17,440"
Only Fools and Horses,1981–2003,64,TV-PG,TV Series,9.0,"54,263"
Hunter x Hunter,2011–2014,148,TV-14,TV Series,9.0,"114,487"
True Detective,2014–,25,TV-MA,TV Series,8.9,"601,131"
Seinfeld,1989–1998,173,TV-PG,TV Series,8.9,"334,424"
Dekalog,1989–1990,10,TV-MA,TV Mini Series,9.0,"26,737"
The Beatles: Get Back,2021,3,PG-13,TV Mini Series,9.0,"25,374"
Persona,2018,12,TV-MA,TV Mini Series,9.0,"43,809"
Fargo,2014–2023,51,TV-MA,TV Series,8.9,"385,835"
Cowboy Bebop,1998–1999,26,TV-14,TV Series,8.9,"128,575"
Nathan for You,2013–2017,32,TV-14,TV Series,8.9,"34,714"
Gravity Falls,2012–2016,41,TV-Y7,TV Series,8.9,"121,478"
Last Week Tonight with John Oliver,2014–,330,TV-MA,TV Series,8.9,"92,492"
Succession,2018–2023,39,TV-MA,TV Series,8.9,"221,145"
When They See Us,2019,4,TV-MA,TV Mini Series,8.9,"129,507"
Friends,1994–2004,234,TV-14,TV Series,8.9,"1,034,886"
Apocalypse: The Second World War,2009,6,TV-MA,TV Mini Series,9.0,"13,400"
Africa,2013,7,TV-PG,TV Mini Series,8.9,"16,600"
TVF Pitchers,2015–2022,10,TV-MA,TV Series,9.1,"70,820"
Taskmaster,2015–,139,TV-14,TV Series,9.0,"16,279"
It's Always Sunny in Philadelphia,2005–,172,TV-MA,TV Series,8.8,"239,004"
Monty Python's Flying Circus,1969–1974,45,TV-14,TV Series,8.8,"76,739"
As If,2021–,42,N/A,TV Series,9.0,"18,013"
The West Wing,1999–2006,155,TV-14,TV Series,8.9,"81,223"
Das Boot,1985,3,TV-MA,TV Mini Series,8.8,"31,833"
Curb Your Enthusiasm,2000–,111,TV-MA,TV Series,8.8,"135,613"
Leyla and Mecnun,2011–2023,144,TV-PG,TV Series,9.1,"95,068"
Fawlty Towers,1975–1979,12,TV-PG,TV Series,8.8,"96,894"
Pride and Prejudice,1995,6,TV-PG,TV Mini Series,8.8,"88,405"
Freaks and Geeks,1999–2000,18,TV-14,TV Series,8.8,"148,176"
BoJack Horseman,2014–2020,77,TV-MA,TV Series,8.8,"172,556"
Blackadder Goes Forth,1989,6,TV-PG,TV Series,8.8,"54,935"
Twin Peaks,1990–1991,30,TV-MA,TV Series,8.8,"205,718"
One Piece,1999–,1076,TV-14,TV Series,8.9,"150,880"
The Last of Us,2023–,10,TV-MA,TV Series,8.8,"436,898"
Narcos,2015–2017,30,TV-MA,TV Series,8.8,"446,559"
Dragon Ball Z,1989–1996,277,TV-PG,TV Series,8.8,"138,405"
Black Mirror,2011–,27,TV-MA,TV Series,8.7,"599,251"
Chappelle's Show,2003–2006,33,TV-MA,TV Series,8.8,"68,648"
Dragon Ball Z,1989–1996,291,TV-PG,TV Series,8.8,"83,531"
"I, Claudius",1976,13,Not Rated,TV Mini Series,8.8,"18,357"
South Park,1997–,330,TV-14,TV Series,8.7,"391,260"
Kota Factory,2019–2021,10,TV-14,TV Series,9.0,"76,587"
Over the Garden Wall,2014,10,TV-PG,TV Mini Series,8.8,"62,711"
Six Feet Under,2001–2005,63,TV-MA,TV Series,8.7,"139,859"
Ted Lasso,2020–2023,34,TV-MA,TV Series,8.8,"293,152"
Peaky Blinders,2013–2022,36,TV-MA,TV Series,8.8,"590,338"
Rome,2005–2007,22,TV-MA,TV Series,8.7,"178,147"
Oz,1997–2003,56,TV-MA,TV Series,8.7,"103,056"
Steins;Gate,2011–2015,26,TV-14,TV Series,8.8,"67,644"
Gullak,2019–,15,N/A,TV Series,9.1,"19,213"
Dark,2017–2020,26,TV-MA,TV Series,8.7,"414,277"
Vinland Saga,2019–,48,TV-MA,TV Series,8.8,"54,994"
The Boys,2019–,32,TV-MA,TV Series,8.7,"566,246"
Panchayat,2020–,16,TV-14,TV Series,8.9,"77,352"
Fleabag,2016–2019,12,TV-MA,TV Series,8.7,"177,832"
Arrested Development,2003–2019,84,TV-14,TV Series,8.7,"314,830"
The Simpsons,1989–,751,TV-14,TV Series,8.7,"420,613"
Battlestar Galactica,2004–2009,74,TV-14,TV Series,8.7,"170,932"
The Shield,2002–2008,89,TV-MA,TV Series,8.7,"84,103"
One Punch Man,2015–2019,25,TV-PG,TV Series,8.7,"172,961"
Downton Abbey,2010–2015,52,TV-PG,TV Series,8.7,"214,752"
House,2004–2012,176,TV-14,TV Series,8.7,"484,113"
Bleach: Thousand-Year Blood War,2022–,15,TV-MA,TV Series,9.1,"21,071"
Severance,2022–,19,TV-MA,TV Series,8.7,"161,740"
Invincible,2021–,17,TV-MA,TV Series,8.7,"157,325"
Sarabhai V/S Sarabhai,2004–2017,79,TV-PG,TV Series,9.0,"17,395"
Stranger Things,2016–2024,42,TV-14,TV Series,8.7,"1,257,706"
Mad Men,2007–2015,92,TV-MA,TV Series,8.7,"249,920"
The Mandalorian,2019–,24,TV-14,TV Series,8.7,"551,838"
Peep Show,2003–2015,54,TV-MA,TV Series,8.7,"63,434"
Star Trek: The Next Generation,1987–1994,176,TV-PG,TV Series,8.7,"128,897"
Berserk,1997–1998,25,TV-MA,TV Series,8.7,"45,421"
The Adventures of Sherlock Holmes,1984–1985,13,TV-PG,TV Series,8.7,"23,251"
The Marvelous Mrs,2017–2023,43,TV-MA,TV Series,8.7,"133,351"
Mahabharat,1988–1990,94,TV-14,TV Series,9.0,"21,183"
Friday Night Lights,2006–2011,76,TV-14,TV Series,8.7,"69,590"
The Grand Tour,2016–,45,TV-14,TV Series,8.7,"79,456"
Aspirants,2021–,10,N/A,TV Series,9.2,"302,961"
Top Gear,2002–,327,TV-PG,TV Series,8.7,"122,887"
Justice League Unlimited,2004–2006,39,TV-Y7-FV,TV Series,8.7,"18,360"
House of Cards,2013–2018,73,TV-MA,TV Series,8.7,"517,164"
1883,2021–2022,10,TV-MA,TV Mini Series,8.7,"97,579"
Behzat Ç: An Ankara Detective Story,2010–2019,105,TV-14,TV Series,8.9,"31,426"
The Thick of It,2005–2012,24,TV-MA,TV Series,8.7,"24,866"
Line of Duty,2012–2021,37,TV-14,TV Series,8.7,"64,794"
The Crown,2016–2023,60,TV-MA,TV Series,8.6,"231,906"
This Is Us,2016–2022,106,TV-14,TV Series,8.7,"150,823"
Ramayan,1987–1988,78,TV-14,TV Series,9.0,"22,484"
Atlanta,2016–2022,41,TV-MA,TV Series,8.6,"81,612"
Naruto: Shippuden,2007–2017,501,TV-PG,TV Series,8.7,"140,105"
Father Ted,1995–1998,25,TV-14,TV Series,8.7,"42,189"
Parks and Recreation,2009–2015,124,TV-14,TV Series,8.6,"273,433"
Deadwood,2004–2006,36,TV-MA,TV Series,8.6,"112,325"
The X-Files,1993–2018,217,TV-14,TV Series,8.6,"236,222"
Dexter,2006–2013,96,TV-MA,TV Series,8.7,"742,374"
Critical Role,2015–,384,TV-14,TV Series,9.2,"11,545"
Primal,2019–,21,TV-MA,TV Series,8.7,"17,590"
Code Geass,2006–2008,54,TV-14,TV Series,8.7,"73,832"
Monster,2004–2005,75,TV-14,TV Series,8.7,"36,988"
The Jinx: The Life and Deaths of Robert Durst,2015,6,TV-14,TV Mini Series,8.6,"48,871"
It's a Sin,2021,5,TV-MA,TV Mini Series,8.7,"34,388"
The Bridge,2011–2018,38,TV-MA,TV Series,8.6,"72,940"
Blackadder II,1986,6,TV-PG,TV Series,8.6,"48,254"
Daredevil,2015–2018,39,TV-MA,TV Series,8.6,"456,650"
Yeh Meri Family,2018–2023,12,TV-14,TV Series,9.0,"24,812"
Adventure Time,2010–2018,289,TV-PG,TV Series,8.6,"102,958"
Demon Slayer: Kimetsu no Yaiba,2019–,55,TV-14,TV Series,8.7,"126,558"
Lonesome Dove,1989,4,TV-14,TV Mini Series,8.7,"24,411"
Archer,2009–2023,137,TV-MA,TV Series,8.6,"160,212"
The Return of Sherlock Holmes,1986–1988,13,TV-PG,TV Series,8.7,"12,820"
Mindhunter,2017–2019,19,TV-MA,TV Series,8.6,"309,938"
Mystery Science Theater 3000,1988–1999,199,TV-14,TV Series,8.7,"25,259"
Gomorrah,2014–2021,58,TV-MA,TV Series,8.7,"42,120"
Blackadder the Third,1987,6,TV-PG,TV Series,8.6,"45,669"
The Offer,2022,10,TV-MA,TV Mini Series,8.6,"34,088"
Young Justice,2010–2022,98,TV-PG,TV Series,8.6,"43,535"
Haikyu!!,2014–2020,89,TV-14,TV Series,8.7,"30,141"
Anne with an E,2017–2019,27,TV-PG,TV Series,8.7,"60,493"
Yellowstone,2018–2023,53,TV-MA,TV Series,8.7,"183,553"
Dopesick,2021,8,TV-MA,TV Mini Series,8.6,"65,713"
Poirot,1989–2013,70,TV-14,TV Series,8.6,"48,657"
Mr,1990–1995,15,Not Rated,TV Series,8.6,"126,466"
Pose,2018–2021,26,TV-MA,TV Series,8.7,"31,072"
Yes Minister,1980–1984,22,TV-PG,TV Series,8.7,"15,692"
QI,2003–,324,TV-PG,TV Series,8.6,"32,796"
Crash Landing on You,2019–2020,19,TV-14,TV Series,8.7,"34,937"
Justified,2010–2015,78,TV-MA,TV Series,8.6,"107,770"
The Newsroom,2012–2014,25,TV-MA,TV Series,8.6,"120,256"
Boardwalk Empire,2010–2014,56,TV-MA,TV Series,8.6,"196,291"
Heartstopper,2022–,24,TV-14,TV Series,8.7,"61,574"
The Bugs Bunny Show,1960–1975,78,TV-G,TV Series,8.6,"34,808"
Making a Murderer,2015–2018,20,TV-14,TV Series,8.6,"99,460"
The Haunting of Hill House,2018,10,TV-MA,TV Mini Series,8.6,"261,691"
The Eric Andre Show,2012–,69,TV-MA,TV Series,8.6,"20,612"
El Chavo del Ocho,1972–1983,357,TV-PG,TV Series,8.7,"11,484"
Justice League,2001–2004,52,TV-PG,TV Series,8.6,"49,126"
The Queen's Gambit,2020,7,TV-MA,TV Mini Series,8.6,"498,855"
Homicide: Life on the Street,1993–1999,122,TV-14,TV Series,8.7,"13,458"
The Venture Bros.,2003–2018,86,TV-14,TV Series,8.6,"26,948"
The Bureau,2015–,50,TV-MA,TV Series,8.7,"12,895"
Dragon Ball,1986–1989,153,TV-14,TV Series,8.6,"61,640"
Flight of the Conchords,2007–2009,22,TV-MA,TV Series,8.6,"63,843"
Dragon Ball,1995–2003,153,TV-14,TV Series,8.6,"62,466"
Black Sun,2017–,20,TV-MA,TV Series,8.9,"11,899"
Coupling,2000–2004,28,TV-14,TV Series,8.6,"46,674"
Battlestar Galactica,2003,2,TV-14,TV Mini Series,8.5,"78,159"
Impractical Jokers,2011–,277,TV-14,TV Series,8.6,"43,258"
What We Do in the Shadows,2019–,51,TV-MA,TV Series,8.6,"86,589"
Spaced,1999–2001,14,TV-14,TV Series,8.5,"56,187"
"Yes, Prime Minister",1986–1987,16,TV-PG,TV Series,8.6,"12,232"
The Family Man,2019–,20,TV-14,TV Series,8.7,"92,842"
Samurai Champloo,2004–2005,26,TV-MA,TV Series,8.6,"52,127"
Long Way Round,2004–2010,10,TV-PG,TV Mini Series,8.6,"14,721"
Mr Inbetween,2018–2021,26,TV-MA,TV Series,8.6,"23,877"
Formula 1: Drive to Survive,2019–,51,TV-MA,TV Series,8.5,"46,317"
Mr,2015–2019,45,TV-MA,TV Series,8.5,"401,639"
The IT Crowd,2006–2013,25,TV-14,TV Series,8.5,"158,800"
I'm Alan Partridge,1997–2002,12,TV-MA,TV Series,8.6,"21,295"
Ezel,2009–2011,71,TV-14,TV Series,8.7,"34,896"
Louie,2010–2015,61,TV-MA,TV Series,8.5,"80,630"
Endeavour,2012–2023,36,TV-14,TV Series,8.6,"30,520"
Whose Line Is It Anyway?,1998–2007,220,TV-PG,TV Series,8.5,"45,087"
The Office,2001–2003,14,TV-MA,TV Series,8.5,"118,064"
Mob Psycho 100,2016–2022,37,TV-14,TV Series,8.6,"38,920"
Through the Wormhole,2010–2017,62,TV-PG,TV Series,8.6,"18,110"
Rocket Boys,2022–,16,N/A,TV Series,8.9,"16,279"
Samurai Jack,2001–2017,62,TV-MA,TV Series,8.5,"56,682"
Spartacus,2010–2013,33,TV-MA,TV Series,8.5,"248,979"
Shameless,2011–2021,134,TV-MA,TV Series,8.6,"259,409"
The Rehearsal,2022–,7,TV-MA,TV Series,8.6,"22,482"
Letterkenny,2016–,76,TV-MA,TV Series,8.7,"26,126"
Detectorists,2014–2022,20,TV-14,TV Series,8.6,"17,927"
Doctor Who,2005–,209,TV-PG,TV Series,8.6,"232,667"
Sons of Anarchy,2008–2014,92,TV-MA,TV Series,8.6,"309,444"
Neon Genesis Evangelion,1995–1996,26,TV-MA,TV Series,8.5,"77,075"
Skam,2015–2017,43,Not Rated,TV Series,8.6,"36,506"
Brass Eye,1997–2001,7,TV-MA,TV Series,8.6,"11,178"
Extraordinary Attorney Woo,2022,16,TV-14,TV Series,8.7,"20,835"
Twin Peaks,2017,18,TV-MA,TV Series,8.5,"71,599"
North & South,2004,4,TV-PG,TV Mini Series,8.6,"33,788"
Trailer Park Boys,2001–2018,106,TV-MA,TV Series,8.6,"47,346"
Happy Valley,2014–2023,18,TV-MA,TV Series,8.5,"57,729"
Spartacus: Gods of the Arena,2011,6,TV-MA,TV Mini Series,8.5,"141,662"
Fullmetal Alchemist,2003–2004,51,TV-PG,TV Series,8.5,"74,193"
Westworld,2016–2022,36,TV-MA,TV Series,8.5,"517,957"
Silicon Valley,2014–2019,53,TV-MA,TV Series,8.5,"158,315"
Futurama,1999–2023,160,TV-14,TV Series,8.5,"248,164"
From the Earth to the Moon,1998,12,TV-14,TV Mini Series,8.6,"12,740"
Tear Along the Dotted Line,2021,6,TV-14,TV Mini Series,8.6,"10,693"
Rurouni Kenshin: Trust and Betrayal,1999,4,TV-MA,TV Mini Series,8.6,"15,534"
Schitt's Creek,2015–2020,80,TV-14,TV Series,8.5,"132,583"
Regular Show,2010–2017,244,TV-PG,TV Series,8.5,"51,530"
Umbre,2014–2019,21,TV-MA,TV Series,8.7,"10,929"
Hannibal,2013–2015,39,TV-MA,TV Series,8.5,"264,411"
The Expanse,2015–2022,62,TV-14,TV Series,8.5,"162,542"
Community,2009–2015,110,TV-14,TV Series,8.5,"279,441"
Wentworth,2013–2021,100,TV-MA,TV Series,8.7,"23,375"
Jujutsu Kaisen,2020–,30,TV-MA,TV Series,8.5,"75,811"
Chef's Table,2015–2019,30,TV-MA,TV Series,8.5,"16,333"
My Brilliant Friend,2018–,25,TV-MA,TV Series,8.6,"16,529"
Derry Girls,2018–2022,19,TV-MA,TV Series,8.5,"50,234"
Avrupa Yakasi,2004–2009,190,N/A,TV Series,8.6,"20,001"
Cobra Kai,2018–2023,51,TV-14,TV Series,8.5,"195,312"
Your Lie in April,2014–2018,24,TV-PG,TV Series,8.6,"33,911"
Generation Kill,2008,7,TV-MA,TV Mini Series,8.5,"56,545"
Gintama,2005–2021,375,TV-14,TV Series,8.7,"13,224"
Queer Eye,2018–,60,TV-14,TV Series,8.5,"20,334"
Alfred Hitchcock Presents,1955–1962,268,TV-14,TV Series,8.5,"18,375"
The Angry Video Game Nerd,2004–,225,TV-MA,TV Series,8.5,"15,648"
The Night Of,2016,8,TV-MA,TV Mini Series,8.4,"161,538"
RuPaul's Drag Race,2009–,212,TV-14,TV Series,8.5,"22,055"
Foyle's War,2002–2015,28,TV-14,TV Series,8.6,"16,973"
Southland,2009–2013,43,TV-MA,TV Series,8.5,"28,009"
Big Little Lies,2017–2019,14,TV-MA,TV Series,8.5,"212,353"
Alchemy of Souls,2022–,30,TV-14,TV Series,8.8,"12,381"
